t,x,y,z,roll,pitch,yaw
2.549044132232666016e+00,-6.089153041464847975e-03,1.917389620009956885e-01,5.666473715020791113e-01,-1.764421113877391463e+02,1.034420830280127435e+00,3.932895717748801090e-01
2.568738698959350586e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.584078788757324219e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.599881410598754883e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.619579792022705078e+00,-6.181570258212278762e-03,1.914769724186855537e-01,5.666410368346526116e-01,-1.764643727862029152e+02,1.034580307980574654e+00,3.928596123206092861e-01
2.638515710830688477e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.659045934677124023e+00,-5.852650862135445539e-03,1.914774452322942910e-01,5.666375076222531781e-01,-1.764645472111183722e+02,9.906639846714301312e-01,3.915014079699741245e-01
2.678596019744873047e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.700764656066894531e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.720841884613037109e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.738494157791137695e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.759928226470947266e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.778078079223632812e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
2.791871070861816406e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.811725854873657227e+00,-6.279917443220624576e-03,1.917394353449444477e-01,5.666484966783109645e-01,-1.764419853838260508e+02,1.034462678548753622e+00,3.919279930396806222e-01
2.826475381851196289e+00,-5.852487099564551883e-03,1.917372813187143699e-01,5.666457948435171810e-01,-1.764425693932590491e+02,9.905138394043997430e-01,3.914471686919026583e-01
2.845937252044677734e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
2.864608764648437500e+00,-6.181403319864262058e-03,1.917368085654018728e-01,5.666493238111516284e-01,-1.764423948423913941e+02,1.034429641312595960e+00,3.928137883869699531e-01
2.886901140213012695e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.903957605361938477e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
2.923986434936523438e+00,-5.921727166120523481e-03,1.914769724101583193e-01,5.666387153509593322e-01,-1.764645235141432806e+02,1.012601489340532179e+00,3.928570004390180004e-01
2.944531440734863281e+00,-6.112327480607535404e-03,1.917372813271440712e-01,5.666480897653856097e-01,-1.764424192072566200e+02,1.012492661746127398e+00,3.914497130042786655e-01
2.965498685836791992e+00,-5.921563407132548508e-03,1.917368085568748604e-01,5.666470023908881659e-01,-1.764425455527438089e+02,1.012450822552031893e+00,3.928111772158203729e-01
